ticker,kind,strike,expiry_date,expiry,mid,market_iv,atm_iv,hist_vol,iv_vs_atm,iv_vs_hist,signal
QQQ,call,640.0,2026-07-10,0.0603,102.455,38.64,23.87,26.39,14.77,12.25,IV elevated vs ATM skew
QQQ,call,685.0,2026-07-10,0.0603,60.01,30.85,23.87,26.39,6.99,4.46,IV elevated vs ATM skew
QQQ,call,687.0,2026-07-10,0.0603,58.085,30.24,23.87,26.39,6.37,3.85,IV elevated vs ATM skew
QQQ,call,693.0,2026-07-10,0.0603,52.755,29.35,23.87,26.39,5.48,2.96,IV elevated vs ATM skew
QQQ,call,697.0,2026-07-10,0.0603,49.425,29.09,23.87,26.39,5.23,2.7,IV elevated vs ATM skew
QQQ,call,698.0,2026-07-10,0.0603,48.54,28.9,23.87,26.39,5.03,2.51,IV elevated vs ATM skew
QQQ,put,630.0,2026-07-10,0.0603,1.035,37.85,23.2,26.39,14.65,11.46,IV elevated vs ATM skew
QQQ,put,635.0,2026-07-10,0.0603,1.145,37.03,23.2,26.39,13.83,10.64,IV elevated vs ATM skew
QQQ,put,640.0,2026-07-10,0.0603,1.27,36.23,23.2,26.39,13.03,9.84,IV elevated vs ATM skew
QQQ,put,645.0,2026-07-10,0.0603,1.405,35.39,23.2,26.39,12.19,9.0,IV elevated vs ATM skew
QQQ,put,650.0,2026-07-10,0.0603,1.56,34.57,23.2,26.39,11.37,8.18,IV elevated vs ATM skew
QQQ,put,655.0,2026-07-10,0.0603,1.75,33.82,23.2,26.39,10.62,7.43,IV elevated vs ATM skew
QQQ,put,660.0,2026-07-10,0.0603,1.98,33.13,23.2,26.39,9.93,6.74,IV elevated vs ATM skew
QQQ,put,665.0,2026-07-10,0.0603,2.21,32.33,23.2,26.39,9.12,5.93,IV elevated vs ATM skew
QQQ,put,670.0,2026-07-10,0.0603,2.52,31.68,23.2,26.39,8.48,5.29,IV elevated vs ATM skew
QQQ,put,675.0,2026-07-10,0.0603,2.86,31.0,23.2,26.39,7.8,4.61,IV elevated vs ATM skew
QQQ,put,680.0,2026-07-10,0.0603,3.24,30.29,23.2,26.39,7.09,3.9,IV elevated vs ATM skew
QQQ,put,685.0,2026-07-10,0.0603,3.715,29.68,23.2,26.39,6.48,3.29,IV elevated vs ATM skew
QQQ,put,686.0,2026-07-10,0.0603,3.775,29.45,23.2,26.39,6.25,3.06,IV elevated vs ATM skew
QQQ,put,687.0,2026-07-10,0.0603,3.905,29.4,23.2,26.39,6.19,3.0,IV elevated vs ATM skew
QQQ,put,688.0,2026-07-10,0.0603,4.0,29.24,23.2,26.39,6.04,2.85,IV elevated vs ATM skew
QQQ,put,689.0,2026-07-10,0.0603,4.12,29.14,23.2,26.39,5.94,2.75,IV elevated vs ATM skew
QQQ,put,690.0,2026-07-10,0.0603,4.235,29.02,23.2,26.39,5.82,2.63,IV elevated vs ATM skew
QQQ,put,691.0,2026-07-10,0.0603,4.325,28.84,23.2,26.39,5.64,2.45,IV elevated vs ATM skew
QQQ,put,692.0,2026-07-10,0.0603,4.465,28.76,23.2,26.39,5.56,2.37,IV elevated vs ATM skew
QQQ,put,693.0,2026-07-10,0.0603,4.585,28.63,23.2,26.39,5.43,2.24,IV elevated vs ATM skew
QQQ,put,695.0,2026-07-10,0.0603,4.835,28.37,23.2,26.39,5.17,1.98,IV elevated vs ATM skew
QQQ,call,630.0,2026-07-17,0.0795,113.355,38.82,24.25,26.39,14.56,12.43,IV elevated vs ATM skew
QQQ,call,635.0,2026-07-17,0.0795,108.545,37.99,24.25,26.39,13.73,11.6,IV elevated vs ATM skew
QQQ,call,640.0,2026-07-17,0.0795,103.12,34.81,24.25,26.39,10.56,8.42,IV elevated vs ATM skew
QQQ,call,645.0,2026-07-17,0.0795,98.995,36.39,24.25,26.39,12.13,10.0,IV elevated vs ATM skew
QQQ,call,650.0,2026-07-17,0.0795,95.125,38.1,24.25,26.39,13.85,11.71,IV elevated vs ATM skew
QQQ,call,655.0,2026-07-17,0.0795,89.55,34.84,24.25,26.39,10.59,8.45,IV elevated vs ATM skew
QQQ,call,671.0,2026-07-17,0.0795,74.71,32.43,24.25,26.39,8.17,6.03,IV elevated vs ATM skew
QQQ,call,672.0,2026-07-17,0.0795,73.845,32.39,24.25,26.39,8.13,6.0,IV elevated vs ATM skew
QQQ,call,674.0,2026-07-17,0.0795,71.28,30.4,24.25,26.39,6.15,4.01,IV elevated vs ATM skew
QQQ,call,675.0,2026-07-17,0.0795,71.085,31.87,24.25,26.39,7.62,5.48,IV elevated vs ATM skew
QQQ,call,680.0,2026-07-17,0.0795,66.585,31.15,24.25,26.39,6.9,4.76,IV elevated vs ATM skew
QQQ,call,685.0,2026-07-17,0.0795,62.195,30.54,24.25,26.39,6.29,4.15,IV elevated vs ATM skew
QQQ,call,690.0,2026-07-17,0.0795,58.04,30.23,24.25,26.39,5.97,3.83,IV elevated vs ATM skew
QQQ,put,630.0,2026-07-17,0.0795,1.67,36.39,23.44,26.39,12.95,10.0,IV elevated vs ATM skew
QQQ,put,635.0,2026-07-17,0.0795,1.83,35.66,23.44,26.39,12.22,9.27,IV elevated vs ATM skew
QQQ,put,640.0,2026-07-17,0.0795,2.025,35.0,23.44,26.39,11.56,8.61,IV elevated vs ATM skew
QQQ,put,645.0,2026-07-17,0.0795,2.23,34.3,23.44,26.39,10.86,7.91,IV elevated vs ATM skew
QQQ,put,650.0,2026-07-17,0.0795,2.46,33.61,23.44,26.39,10.17,7.22,IV elevated vs ATM skew
QQQ,put,655.0,2026-07-17,0.0795,2.735,32.98,23.44,26.39,9.54,6.59,IV elevated vs ATM skew
QQQ,put,660.0,2026-07-17,0.0795,3.04,32.34,23.44,26.39,8.9,5.95,IV elevated vs ATM skew
QQQ,put,665.0,2026-07-17,0.0795,3.385,31.71,23.44,26.39,8.27,5.32,IV elevated vs ATM skew
QQQ,put,670.0,2026-07-17,0.0795,3.76,31.05,23.44,26.39,7.61,4.66,IV elevated vs ATM skew
QQQ,put,671.0,2026-07-17,0.0795,3.845,30.93,23.44,26.39,7.49,4.54,IV elevated vs ATM skew
QQQ,put,672.0,2026-07-17,0.0795,3.945,30.84,23.44,26.39,7.4,4.45,IV elevated vs ATM skew
QQQ,put,674.0,2026-07-17,0.0795,4.11,30.57,23.44,26.39,7.13,4.18,IV elevated vs ATM skew
QQQ,put,675.0,2026-07-17,0.0795,4.19,30.42,23.44,26.39,6.98,4.03,IV elevated vs ATM skew
QQQ,put,676.0,2026-07-17,0.0795,4.28,30.29,23.44,26.39,6.85,3.9,IV elevated vs ATM skew
QQQ,put,677.0,2026-07-17,0.0795,4.38,30.18,23.44,26.39,6.73,3.78,IV elevated vs ATM skew
QQQ,put,678.0,2026-07-17,0.0795,4.485,30.07,23.44,26.39,6.63,3.68,IV elevated vs ATM skew
QQQ,put,679.0,2026-07-17,0.0795,4.605,29.99,23.44,26.39,6.55,3.6,IV elevated vs ATM skew
QQQ,put,680.0,2026-07-17,0.0795,4.69,29.83,23.44,26.39,6.39,3.44,IV elevated vs ATM skew
QQQ,put,681.0,2026-07-17,0.0795,4.795,29.7,23.44,26.39,6.26,3.31,IV elevated vs ATM skew
QQQ,put,682.0,2026-07-17,0.0795,4.905,29.59,23.44,26.39,6.15,3.19,IV elevated vs ATM skew
QQQ,put,683.0,2026-07-17,0.0795,5.01,29.45,23.44,26.39,6.01,3.06,IV elevated vs ATM skew
QQQ,put,684.0,2026-07-17,0.0795,5.125,29.34,23.44,26.39,5.89,2.94,IV elevated vs ATM skew
QQQ,put,685.0,2026-07-17,0.0795,5.28,29.29,23.44,26.39,5.85,2.9,IV elevated vs ATM skew
QQQ,put,686.0,2026-07-17,0.0795,5.385,29.14,23.44,26.39,5.7,2.75,IV elevated vs ATM skew
QQQ,put,687.0,2026-07-17,0.0795,5.5,29.01,23.44,26.39,5.57,2.62,IV elevated vs ATM skew
QQQ,put,688.0,2026-07-17,0.0795,5.625,28.89,23.44,26.39,5.45,2.5,IV elevated vs ATM skew
QQQ,put,689.0,2026-07-17,0.0795,5.775,28.81,23.44,26.39,5.37,2.42,IV elevated vs ATM skew
QQQ,put,690.0,2026-07-17,0.0795,5.885,28.65,23.44,26.39,5.21,2.26,IV elevated vs ATM skew
QQQ,put,691.0,2026-07-17,0.0795,6.045,28.58,23.44,26.39,5.14,2.19,IV elevated vs ATM skew
QQQ,put,692.0,2026-07-17,0.0795,6.175,28.45,23.44,26.39,5.0,2.05,IV elevated vs ATM skew
QQQ,call,670.0,2026-07-24,0.0986,77.3,31.85,24.25,26.39,7.6,5.46,IV elevated vs ATM skew
QQQ,call,692.0,2026-07-24,0.0986,58.22,29.25,24.25,26.39,5.0,2.86,IV elevated vs ATM skew
QQQ,put,630.0,2026-07-24,0.0986,2.28,35.09,23.64,26.39,11.45,8.7,IV elevated vs ATM skew
QQQ,put,635.0,2026-07-24,0.0986,2.475,34.4,23.64,26.39,10.76,8.01,IV elevated vs ATM skew
QQQ,put,640.0,2026-07-24,0.0986,2.7,33.75,23.64,26.39,10.11,7.36,IV elevated vs ATM skew
QQQ,put,645.0,2026-07-24,0.0986,2.985,33.2,23.64,26.39,9.57,6.81,IV elevated vs ATM skew
QQQ,put,650.0,2026-07-24,0.0986,3.28,32.61,23.64,26.39,8.97,6.21,IV elevated vs ATM skew
QQQ,put,655.0,2026-07-24,0.0986,3.61,32.02,23.64,26.39,8.38,5.63,IV elevated vs ATM skew
QQQ,put,660.0,2026-07-24,0.0986,3.99,31.46,23.64,26.39,7.83,5.07,IV elevated vs ATM skew
QQQ,put,665.0,2026-07-24,0.0986,4.405,30.9,23.64,26.39,7.26,4.51,IV elevated vs ATM skew
QQQ,put,670.0,2026-07-24,0.0986,4.86,30.33,23.64,26.39,6.69,3.93,IV elevated vs ATM skew
QQQ,put,675.0,2026-07-24,0.0986,5.395,29.81,23.64,26.39,6.17,3.42,IV elevated vs ATM skew
QQQ,put,680.0,2026-07-24,0.0986,5.99,29.3,23.64,26.39,5.66,2.91,IV elevated vs ATM skew
QQQ,put,685.0,2026-07-24,0.0986,6.615,28.73,23.64,26.39,5.09,2.34,IV elevated vs ATM skew
QQQ,call,658.0,2026-07-31,0.1178,89.19,31.79,24.85,26.39,6.94,5.4,IV elevated vs ATM skew
QQQ,call,665.0,2026-07-31,0.1178,83.005,31.24,24.85,26.39,6.39,4.85,IV elevated vs ATM skew
QQQ,call,671.0,2026-07-31,0.1178,77.555,30.37,24.85,26.39,5.52,3.98,IV elevated vs ATM skew
QQQ,call,674.0,2026-07-31,0.1178,75.09,30.32,24.85,26.39,5.47,3.93,IV elevated vs ATM skew
QQQ,put,630.0,2026-07-31,0.1178,3.015,34.42,24.11,26.39,10.31,8.03,IV elevated vs ATM skew
QQQ,put,631.0,2026-07-31,0.1178,3.055,34.28,24.11,26.39,10.16,7.89,IV elevated vs ATM skew
QQQ,put,635.0,2026-07-31,0.1178,3.285,33.86,24.11,26.39,9.75,7.47,IV elevated vs ATM skew
QQQ,put,636.0,2026-07-31,0.1178,3.34,33.75,24.11,26.39,9.63,7.36,IV elevated vs ATM skew
QQQ,put,640.0,2026-07-31,0.1178,3.575,33.29,24.11,26.39,9.18,6.9,IV elevated vs ATM skew
QQQ,put,641.0,2026-07-31,0.1178,3.635,33.18,24.11,26.39,9.06,6.78,IV elevated vs ATM skew
QQQ,put,642.0,2026-07-31,0.1178,3.7,33.07,24.11,26.39,8.96,6.68,IV elevated vs ATM skew
QQQ,put,643.0,2026-07-31,0.1178,3.785,33.01,24.11,26.39,8.89,6.61,IV elevated vs ATM skew
QQQ,put,644.0,2026-07-31,0.1178,3.845,32.88,24.11,26.39,8.77,6.49,IV elevated vs ATM skew
QQQ,put,645.0,2026-07-31,0.1178,3.915,32.78,24.11,26.39,8.66,6.38,IV elevated vs ATM skew
QQQ,put,647.0,2026-07-31,0.1178,4.055,32.56,24.11,26.39,8.45,6.17,IV elevated vs ATM skew
QQQ,put,650.0,2026-07-31,0.1178,4.28,32.24,24.11,26.39,8.13,5.85,IV elevated vs ATM skew
QQQ,put,651.0,2026-07-31,0.1178,4.33,32.08,24.11,26.39,7.96,5.69,IV elevated vs ATM skew
QQQ,put,655.0,2026-07-31,0.1178,4.675,31.7,24.11,26.39,7.59,5.31,IV elevated vs ATM skew
QQQ,put,656.0,2026-07-31,0.1178,4.75,31.57,24.11,26.39,7.46,5.18,IV elevated vs ATM skew
QQQ,put,657.0,2026-07-31,0.1178,4.85,31.5,24.11,26.39,7.38,5.1,IV elevated vs ATM skew
QQQ,put,658.0,2026-07-31,0.1178,4.95,31.41,24.11,26.39,7.3,5.02,IV elevated vs ATM skew
QQQ,put,660.0,2026-07-31,0.1178,5.09,31.12,24.11,26.39,7.01,4.73,IV elevated vs ATM skew
QQQ,put,665.0,2026-07-31,0.1178,5.6,30.65,24.11,26.39,6.54,4.26,IV elevated vs ATM skew
QQQ,put,669.0,2026-07-31,0.1178,6.02,30.23,24.11,26.39,6.11,3.84,IV elevated vs ATM skew
QQQ,put,670.0,2026-07-31,0.1178,6.14,30.14,24.11,26.39,6.03,3.75,IV elevated vs ATM skew
QQQ,put,675.0,2026-07-31,0.1178,6.765,29.68,24.11,26.39,5.57,3.29,IV elevated vs ATM skew
QQQ,put,677.0,2026-07-31,0.1178,6.995,29.44,24.11,26.39,5.33,3.05,IV elevated vs ATM skew
QQQ,put,678.0,2026-07-31,0.1178,7.14,29.37,24.11,26.39,5.25,2.97,IV elevated vs ATM skew
QQQ,put,680.0,2026-07-31,0.1178,7.415,29.17,24.11,26.39,5.06,2.78,IV elevated vs ATM skew
QQQ,call,630.0,2026-08-21,0.1753,119.835,35.51,25.1,26.39,10.41,9.12,IV elevated vs ATM skew
