ticker,kind,strike,expiry_date,expiry,mid,market_iv,hist_vol,iv_premium,signal
SPY,call,728.0,2026-06-24,0.0219,26.345,19.82,14.23,5.59,IV elevated — option may be overpriced
SPY,call,731.0,2026-06-24,0.0219,22.945,16.29,14.23,2.06,—
SPY,call,732.0,2026-06-24,0.0219,21.78,14.92,14.23,0.69,—
SPY,call,735.0,2026-06-24,0.0219,19.685,17.02,14.23,2.79,—
SPY,call,736.0,2026-06-24,0.0219,18.16,14.42,14.23,0.18,—
SPY,call,741.0,2026-06-24,0.0219,13.67,13.13,14.23,-1.11,—
SPY,call,748.0,2026-06-24,0.0219,8.31,12.28,14.23,-1.95,—
SPY,call,749.0,2026-06-24,0.0219,7.685,12.28,14.23,-1.95,—
SPY,call,750.0,2026-06-24,0.0219,6.86,11.75,14.23,-2.48,—
SPY,call,752.0,2026-06-24,0.0219,5.795,11.87,14.23,-2.37,—
SPY,call,753.0,2026-06-24,0.0219,5.065,11.37,14.23,-2.86,—
SPY,call,754.0,2026-06-24,0.0219,4.59,11.39,14.23,-2.84,—
SPY,call,755.0,2026-06-24,0.0219,4.07,11.23,14.23,-3.0,—
SPY,call,756.0,2026-06-24,0.0219,3.705,11.35,14.23,-2.88,—
SPY,call,757.0,2026-06-24,0.0219,3.175,11.02,14.23,-3.21,—
SPY,call,758.0,2026-06-24,0.0219,2.85,11.09,14.23,-3.14,—
SPY,call,759.0,2026-06-24,0.0219,2.44,10.88,14.23,-3.35,—
SPY,call,760.0,2026-06-24,0.0219,2.12,10.81,14.23,-3.42,—
SPY,call,761.0,2026-06-24,0.0219,1.82,10.72,14.23,-3.52,—
SPY,call,762.0,2026-06-24,0.0219,1.555,10.63,14.23,-3.6,—
SPY,call,763.0,2026-06-24,0.0219,1.36,10.68,14.23,-3.55,—
SPY,call,764.0,2026-06-24,0.0219,1.155,10.63,14.23,-3.6,—
SPY,call,765.0,2026-06-24,0.0219,0.95,10.49,14.23,-3.75,—
SPY,call,766.0,2026-06-24,0.0219,0.78,10.37,14.23,-3.86,—
SPY,call,767.0,2026-06-24,0.0219,0.65,10.34,14.23,-3.89,—
SPY,call,768.0,2026-06-24,0.0219,0.545,10.34,14.23,-3.89,—
SPY,call,769.0,2026-06-24,0.0219,0.445,10.29,14.23,-3.94,—
SPY,call,770.0,2026-06-24,0.0219,0.375,10.33,14.23,-3.9,—
SPY,call,772.0,2026-06-24,0.0219,0.255,10.34,14.23,-3.89,—
SPY,call,773.0,2026-06-24,0.0219,0.215,10.41,14.23,-3.82,—
SPY,call,775.0,2026-06-24,0.0219,0.155,10.57,14.23,-3.66,—
