ticker,kind,strike,expiry_date,expiry,mid,market_iv,atm_iv,hist_vol,iv_vs_atm,iv_vs_hist,signal
SPY,put,690.0,2026-07-02,0.0438,0.505,23.5,13.61,14.25,9.89,9.25,IV elevated vs ATM skew
SPY,put,691.0,2026-07-02,0.0438,0.545,23.51,13.61,14.25,9.89,9.25,IV elevated vs ATM skew
SPY,put,695.0,2026-07-02,0.0438,0.585,22.52,13.61,14.25,8.91,8.27,IV elevated vs ATM skew
SPY,put,696.0,2026-07-02,0.0438,0.61,22.37,13.61,14.25,8.76,8.12,IV elevated vs ATM skew
SPY,put,697.0,2026-07-02,0.0438,0.63,22.18,13.61,14.25,8.57,7.93,IV elevated vs ATM skew
SPY,put,698.0,2026-07-02,0.0438,0.65,21.99,13.61,14.25,8.38,7.74,IV elevated vs ATM skew
SPY,put,700.0,2026-07-02,0.0438,0.695,21.62,13.61,14.25,8.01,7.36,IV elevated vs ATM skew
SPY,put,702.0,2026-07-02,0.0438,0.76,21.34,13.61,14.25,7.73,7.09,IV elevated vs ATM skew
SPY,put,703.0,2026-07-02,0.0438,0.79,21.17,13.61,14.25,7.56,6.92,IV elevated vs ATM skew
SPY,put,705.0,2026-07-02,0.0438,0.835,20.74,13.61,14.25,7.12,6.48,IV elevated vs ATM skew
SPY,put,707.0,2026-07-02,0.0438,0.905,20.41,13.61,14.25,6.79,6.15,IV elevated vs ATM skew
SPY,put,708.0,2026-07-02,0.0438,0.93,20.18,13.61,14.25,6.57,5.93,IV elevated vs ATM skew
SPY,put,710.0,2026-07-02,0.0438,1.025,19.92,13.61,14.25,6.31,5.67,IV elevated vs ATM skew
SPY,put,712.0,2026-07-02,0.0438,1.095,19.51,13.61,14.25,5.9,5.26,IV elevated vs ATM skew
SPY,put,713.0,2026-07-02,0.0438,1.14,19.34,13.61,14.25,5.72,5.08,IV elevated vs ATM skew
SPY,put,714.0,2026-07-02,0.0438,1.19,19.18,13.61,14.25,5.56,4.92,IV elevated vs ATM skew
SPY,put,715.0,2026-07-02,0.0438,1.25,19.04,13.61,14.25,5.43,4.79,IV elevated vs ATM skew
SPY,put,717.0,2026-07-02,0.0438,1.36,18.71,13.61,14.25,5.09,4.45,IV elevated vs ATM skew
SPY,call,705.0,2026-07-10,0.0658,50.365,18.13,12.65,14.25,5.48,3.88,IV elevated vs ATM skew
SPY,put,660.0,2026-07-10,0.0658,0.515,27.16,13.38,14.25,13.78,12.91,IV elevated vs ATM skew
SPY,put,665.0,2026-07-10,0.0658,0.555,26.19,13.38,14.25,12.81,11.94,IV elevated vs ATM skew
SPY,put,675.0,2026-07-10,0.0658,0.66,24.31,13.38,14.25,10.94,10.06,IV elevated vs ATM skew
SPY,put,678.0,2026-07-10,0.0658,0.715,23.86,13.38,14.25,10.49,9.61,IV elevated vs ATM skew
SPY,put,679.0,2026-07-10,0.0658,0.72,23.62,13.38,14.25,10.25,9.37,IV elevated vs ATM skew
SPY,put,680.0,2026-07-10,0.0658,0.745,23.5,13.38,14.25,10.13,9.25,IV elevated vs ATM skew
SPY,put,681.0,2026-07-10,0.0658,0.755,23.29,13.38,14.25,9.91,9.04,IV elevated vs ATM skew
SPY,put,683.0,2026-07-10,0.0658,0.79,22.95,13.38,14.25,9.57,8.69,IV elevated vs ATM skew
SPY,put,685.0,2026-07-10,0.0658,0.83,22.62,13.38,14.25,9.24,8.36,IV elevated vs ATM skew
SPY,put,689.0,2026-07-10,0.0658,0.92,21.97,13.38,14.25,8.59,7.71,IV elevated vs ATM skew
SPY,put,690.0,2026-07-10,0.0658,0.94,21.78,13.38,14.25,8.41,7.53,IV elevated vs ATM skew
SPY,put,691.0,2026-07-10,0.0658,0.97,21.64,13.38,14.25,8.27,7.39,IV elevated vs ATM skew
SPY,put,695.0,2026-07-10,0.0658,1.095,21.06,13.38,14.25,7.68,6.8,IV elevated vs ATM skew
SPY,put,696.0,2026-07-10,0.0658,1.115,20.85,13.38,14.25,7.47,6.6,IV elevated vs ATM skew
SPY,put,697.0,2026-07-10,0.0658,1.145,20.68,13.38,14.25,7.31,6.43,IV elevated vs ATM skew
SPY,put,698.0,2026-07-10,0.0658,1.195,20.59,13.38,14.25,7.21,6.34,IV elevated vs ATM skew
SPY,put,700.0,2026-07-10,0.0658,1.255,20.23,13.38,14.25,6.86,5.98,IV elevated vs ATM skew
SPY,put,705.0,2026-07-10,0.0658,1.49,19.55,13.38,14.25,6.18,5.3,IV elevated vs ATM skew
SPY,put,707.0,2026-07-10,0.0658,1.57,19.19,13.38,14.25,5.82,4.94,IV elevated vs ATM skew
